марка,модель кузова,километраж,объем двигателя,тип двигателя,регистрация,год,модель,привод,цена
ZAZ,hatch,150,1.2,Petrol,yes,2004,1102 Òàâðèÿ,front,1000.0
ZAZ,hatch,150,99.99,Gas,yes,2004,1102 Òàâðèÿ,front,1800.0
Mercedes-Benz,sedan,162,5.5,Petrol,yes,2007,S 500,full,26800.0
Skoda,sedan,64,1.8,Petrol,yes,2013,Superb,front,21500.0
Renault,crossover,103,2.5,Gas,yes,2010,Koleos,full,10850.0
Bentley,sedan,830,6.0,Petrol,yes,2011,Flying Spur,full,117000.0
Mazda,sedan,78,2.0,Petrol,yes,2010,6,front,15000.0
Mazda,sedan,47,2.0,Petrol,yes,2011,6,front,16000.0
Mazda,sedan,121,1.6,Petrol,yes,2007,3,front,7700.0
Honda,sedan,135,1.4,Other,yes,2008,Civic,front,9300.0
Seat,vagon,78,1.2,Diesel,yes,2013,Ibiza,front,9100.0
Land Rover,crossover,87,2.6290927510130397,Petrol,yes,2010,Range Rover,full,39700.0
Kia,sedan,91,2.0,Petrol,yes,2013,Cerato,front,14500.0
Land Rover,crossover,81,5.0,Petrol,yes,2013,Range Rover,full,84999.0
Ford,hatch,2,1.4,Petrol,yes,1985,Fiesta,front,1000.0
Kia,hatch,1,1.6,Petrol,yes,2016,Ceed,front,13460.265
Volkswagen,van,240,1.9,Diesel,yes,2003,T5 (Transporter) ïàññ.,front,8800.0
Mitsubishi,crossover,150,2.0,Gas,yes,2007,Outlander,full,9500.0
Toyota,other,82,2.0,Gas,yes,2007,Rav 4,full,14500.0
Renault,van,160,1.5,Diesel,yes,2010,Grand Scenic,front,11500.0
Smart,other,103,0.6,Petrol,yes,2000,Fortwo,rear,3100.0
Volkswagen,van,181,1.6,Diesel,yes,2011,Caddy ãðóç.,front,9000.0
Toyota,sedan,123,3.5,Petrol,yes,2007,Camry,front,12800.0
Mercedes-Benz,sedan,174,2.6,Gas,yes,2001,E-Class,rear,10200.0
BMW,crossover,1,2.0,Petrol,yes,2016,X5,full,69999.0
Nissan,crossover,87,2.0,Gas,yes,2011,Qashqai,front,13300.0
BMW,sedan,59,4.4,Petrol,yes,2009,750,rear,42000.0
Volkswagen,hatch,238,1.6,Petrol,yes,1994,Golf III,front,4400.0
Toyota,crossover,105,2.0,Gas,yes,2011,Rav 4,full,18800.0
Honda,other,165,2.4,Petrol,yes,2005,Accord,front,7500.0
Mercedes-Benz,van,207,2.2,Diesel,yes,2003,Vito ïàññ.,front,7300.0
BMW,other,73,2.0,Petrol,yes,2012,320,rear,29999.0
Volkswagen,vagon,160,1.4,Petrol,yes,2011,Passat B7,front,17500.0
Renault,vagon,155,1.5,Diesel,yes,2010,Clio,front,9200.0
Peugeot,van,245,1.6,Diesel,yes,2006,Partner ïàññ.,front,4700.0
Mercedes-Benz,sedan,210,2.0,Petrol,yes,1995,E-Class,rear,3799.0
BYD,crossover,42,2.4,Gas,yes,2013,S6,front,12800.0
Ford,van,150,1.8,Diesel,yes,2010,Transit Connect ïàññ.,front,8599.0
Volkswagen,other,93,2.0,Diesel,yes,2012,Passat B7,front,21000.0
Jeep,crossover,250,3.0,Diesel,yes,2012,Grand Cherokee,full,27500.0
BMW,sedan,11,2.5,Diesel,yes,1994,325,rear,4800.0
Suzuki,crossover,92,2.0,Petrol,yes,2006,Grand Vitara,full,10500.0
Volkswagen,van,180,2.5,Diesel,yes,2004,T5 (Transporter) ãðóç,front,7500.0
Hyundai,crossover,63,2.0,Diesel,yes,2012,IX35,full,21400.0
Nissan,hatch,23,2.6290927510130397,Other,yes,2014,Leaf,front,14200.0
Nissan,crossover,113,3.5,Gas,yes,2005,Murano,full,11999.0
Seat,sedan,300,1.9,Diesel,yes,1996,Cordoba,front,4200.0
Land Rover,crossover,25,2.6290927510130397,Petrol,yes,2012,Range Rover Sport,full,52900.0
Suzuki,hatch,87,1.6,Gas,yes,2011,SX4,front,12000.0
Peugeot,crossover,90,1.6,Diesel,yes,2014,3008,front,19500.0
Audi,vagon,172,2.0,Diesel,yes,2011,A4,front,21800.0
BMW,sedan,277,2.0,Petrol,yes,1991,320,rear,4200.0
Peugeot,hatch,198,1.4,Gas,yes,2008,207,front,6400.0
Hyundai,other,55,1.4,Diesel,yes,2013,i30,front,12650.0
BMW,sedan,288,4.4,Gas,yes,2002,745,rear,10800.0
Porsche,crossover,65,3.6,Petrol,yes,2012,Cayenne,full,49999.0
Land Rover,crossover,56,2.2,Diesel,yes,2013,Range Rover Evoque,full,43999.0
Chevrolet,sedan,140,1.6,Petrol,yes,2006,Lacetti,front,5650.0
Mazda,other,123,1.6,Petrol,yes,2009,3,front,6700.0
BMW,sedan,280,3.0,Petrol,yes,2001,530,rear,7000.0
Subaru,crossover,130,3.0,Gas,yes,2007,Tribeca,full,12700.0
Mercedes-Benz,sedan,219,2.0,Petrol,yes,2000,C-Class,rear,7450.0
Toyota,sedan,82,2.6290927510130397,Petrol,yes,2010,Corolla,front,10500.0
Toyota,crossover,83,2.6290927510130397,Petrol,yes,2012,Highlander,full,28900.0
Toyota,sedan,124,1.8,Petrol,yes,2008,Avensis,front,10500.0
Audi,vagon,240,2.0,Petrol,yes,2002,A4,front,7500.0
BMW,sedan,350,2.5,Diesel,yes,1998,525,rear,2250.0
Toyota,hatch,67,1.6,Petrol,yes,2012,Auris,front,14100.0
Infiniti,crossover,129,3.5,Petrol,yes,2004,FX 35,full,14200.0
Toyota,sedan,158,2.0,Gas,yes,2009,Avensis,front,13300.0
Mercedes-Benz,other,198,6.0,Petrol,yes,2004,S 600,rear,11200.0
Mercedes-Benz,sedan,198,6.0,Petrol,yes,2004,S 600,rear,11200.0
BMW,sedan,380,3.0,Gas,yes,1989,530,rear,3900.0
Infiniti,crossover,160,3.5,Petrol,yes,2003,FX 35,full,13200.0
Mitsubishi,sedan,60,1.6,Petrol,yes,2007,Lancer,front,4999.0
Mazda,crossover,125,99.99,Other,yes,2009,CX-7,full,12850.0
Toyota,crossover,161,2.7,Gas,yes,2005,Land Cruiser Prado,full,18900.0
Subaru,vagon,118,2.5,Petrol,yes,2013,Outback,full,19900.0
Land Rover,crossover,167,4.2,Gas,yes,2006,Range Rover Evoque,full,22999.0
Ford,hatch,97,1.4,Petrol,yes,2008,Fusion,front,6500.0
Honda,sedan,142,2.4,Petrol,yes,2008,Accord,front,11000.0
Skoda,hatch,122,1.6,Petrol,yes,2009,Octavia Tour,front,8699.0
BMW,sedan,274,4.4,Gas,yes,1998,540,rear,10000.0
BMW,sedan,270,2.0,Diesel,no,1998,320,rear,2600.0
BMW,sedan,140,3.0,Diesel,no,2000,530,rear,4500.0
Mitsubishi,crossover,153,1.6,Gas,yes,2011,ASX,front,12800.0
Audi,sedan,108,2.0,Diesel,yes,2013,A6,front,30999.0
ZAZ,hatch,1,1.5,Petrol,yes,2015,Forza,front,6500.0
Skoda,sedan,60,1.4,Petrol,yes,2015,Octavia A7,front,19200.0
BMW,sedan,200,2.0,Diesel,no,2003,320,rear,1700.0
BMW,sedan,128,3.0,Diesel,yes,2013,730,full,50499.0
BMW,sedan,79,3.0,Diesel,no,2012,530,rear,18500.0
Audi,sedan,4,3.0,Diesel,yes,2015,A8,full,90999.0
Audi,sedan,40,3.0,Diesel,yes,2015,A8,full,85555.0
Volkswagen,van,158,2.0,Diesel,yes,2012,T5 (Transporter) ãðóç,front,14899.0
Audi,vagon,300,2.5,Diesel,no,2002,A6,front,2500.0
Toyota,crossover,160,4.0,Petrol,yes,2008,Land Cruiser Prado,full,23200.0
Volkswagen,sedan,330,1.9,Petrol,no,1999,Passat B5,front,2600.0
Subaru,vagon,120,2.5,Petrol,yes,2006,Outback,full,10700.0
Mazda,crossover,165,2.3,Petrol,yes,2008,CX-7,front,11800.0
Hyundai,crossover,157,2.7,Gas,yes,2006,Santa FE,full,13400.0
Honda,sedan,129,2.4,Gas,yes,2010,Accord,front,15000.0
Chevrolet,sedan,120,1.6,Gas,yes,2007,Aveo,front,5444.0
Volkswagen,other,38,2.0,Diesel,yes,2015,Tiguan,full,28500.0
BMW,sedan,300,3.0,Diesel,no,1999,530,rear,3500.0
Ford,sedan,15,2.0,Petrol,yes,1988,Sierra,rear,8900.0
Toyota,crossover,68,2.7,Gas,yes,2012,Land Cruiser Prado,full,30990.0
Honda,sedan,185,2.4,Gas,yes,2008,Accord,front,12200.0
Mercedes-Benz,crossover,0,5.5,Petrol,yes,2016,GLS 63,full,199999.0
Toyota,hatch,73,1.6,Petrol,yes,2013,Auris,front,18600.0
Mercedes-Benz,van,0,2.2,Diesel,yes,2016,V 250,full,109999.0
Hyundai,crossover,63,2.2,Diesel,yes,2012,Santa FE,full,21700.0
Honda,crossover,88,2.0,Petrol,yes,2011,CR-V,full,18900.0
Toyota,crossover,133,2.7,Gas,yes,2007,Land Cruiser Prado,full,17900.0
Honda,sedan,116,2.6290927510130397,Petrol,yes,2007,Accord,front,13000.0
Nissan,sedan,380,3.0,Gas,yes,1991,Maxima,front,2100.0
BMW,sedan,237,3.0,Diesel,yes,2003,530,rear,12000.0
Hyundai,hatch,0,1.4,Petrol,yes,2016,i20,front,18300.0
Volkswagen,other,117,1.6,Diesel,yes,2014,Caddy ãðóç.,front,9800.0
BMW,sedan,1,2.0,Diesel,yes,2008,320,rear,19990.0
Jeep,crossover,93,6.1,Petrol,yes,2007,Grand Cherokee,full,27500.0
Volkswagen,other,112,2.0,Diesel,yes,2011,T6 (Transporter) ãðóç,front,11900.0
Lexus,crossover,223,3.3,Petrol,yes,2003,RX 330,full,14500.0
Land Rover,crossover,127,3.6,Diesel,yes,2007,Range Rover,full,25300.0
Nissan,sedan,178,2.0,Gas,yes,2004,Maxima,front,7600.0
BMW,sedan,185,2.0,Diesel,no,2002,320,rear,3500.0
BMW,sedan,267,2.0,Diesel,yes,2002,320,rear,9700.0
Chevrolet,sedan,208,1.5,Gas,yes,2004,Aveo,front,4100.0
Peugeot,other,32,1.6,Petrol,yes,2013,RCZ,front,28000.0
Mitsubishi,sedan,135,2.0,Gas,yes,2007,Lancer,front,7700.0
Fiat,van,92,1.4,Gas,yes,2013,Doblo ïàññ.,front,12500.0
Opel,sedan,140,1.6,Petrol,yes,1996,Vectra B,front,3250.0
Subaru,sedan,230,1.6,Petrol,yes,2003,Impreza,front,6200.0
BMW,sedan,290,2.0,Diesel,no,1999,320,front,2500.0
Infiniti,crossover,82,3.0,Diesel,yes,2012,FX 30,full,36900.0
Toyota,crossover,219,2.7,Petrol,yes,2006,Land Cruiser Prado,full,16200.0
Hyundai,crossover,134,2.7,Gas,yes,2007,Santa FE,full,12500.0
Opel,hatch,10,1.6,Gas,yes,1992,Astra F,front,3950.0
Fiat,vagon,107,1.3,Diesel,yes,2008,Doblo ïàññ.,front,7200.0
Opel,hatch,160,1.23,Petrol,yes,2011,Corsa,front,8900.0
ZAZ,hatch,49,1.1,Other,yes,2002,1102 Òàâðèÿ,front,1150.0
Renault,van,141,2.0,Diesel,yes,2011,Trafic ãðóç.,front,8300.0
Mercedes-Benz,van,116,2.2,Diesel,yes,2013,Vito ïàññ.,full,16800.0
Volkswagen,vagon,160,2.8,Petrol,yes,2001,Sharan,front,6800.0
BMW,sedan,275,2.0,Gas,yes,1998,520,rear,7500.0
Peugeot,other,149,1.4,Petrol,yes,2008,Partner ãðóç.,front,4300.0
BMW,sedan,380,2.0,Petrol,yes,1991,320,rear,4000.0
Subaru,hatch,118,1.5,Petrol,yes,2008,Impreza,full,8700.0
BMW,sedan,170,3.0,Petrol,yes,2011,530,rear,27900.0
Mercedes-Benz,other,51,3.0,Diesel,yes,2014,E-Class,rear,43500.0
Mitsubishi,other,30,2.6290927510130397,Diesel,yes,2014,L 200,full,20300.0
Mercedes-Benz,crossover,3,3.0,Diesel,yes,2016,GLS 350,full,86000.0
Suzuki,crossover,77,2.4,Petrol,yes,2010,Grand Vitara,full,14300.0
Hyundai,crossover,127,2.2,Diesel,yes,2012,Santa FE,full,19700.0
Mercedes-Benz,van,127,2.2,Diesel,yes,2005,Vito ïàññ.,rear,9999.0
BMW,sedan,69,2.0,Petrol,yes,2008,320,rear,17900.0
ZAZ,sedan,29,1.3,Petrol,yes,2015,Sens,front,4600.0
BMW,sedan,242,3.0,Diesel,no,2001,530,rear,2500.0
VAZ,hatch,112,1.6,Petrol,yes,2007,2113,front,3000.0
Land Rover,crossover,82,4.4,Diesel,yes,2014,Range Rover,full,107000.0
Peugeot,crossover,110,1.6,Gas,yes,2013,3008,front,11000.0
Hyundai,other,134,2.7,Gas,yes,2008,Santa FE,full,15600.0
Opel,sedan,103,2.2,Gas,yes,2008,Vectra C,front,10500.0
Daewoo,sedan,33,1.5,Petrol,yes,2011,Lanos,front,4850.0
Mitsubishi,hatch,240,1.8,Petrol,yes,2000,Carisma,front,5300.0
Volkswagen,van,214,1.9,Diesel,yes,2001,T4 (Transporter) ïàññ.,front,7300.0
Chevrolet,sedan,132,1.8,Gas,yes,2007,Lacetti,front,6000.0
Infiniti,crossover,150,3.5,Gas,yes,2005,FX 35,full,14800.0
Mitsubishi,crossover,115,3.0,Petrol,yes,2008,Outlander XL,full,14999.0
BMW,sedan,121,2.0,Petrol,yes,2007,318,rear,12900.0
Chrysler,sedan,180,2.0,Gas,yes,2002,PT Cruiser,front,6900.0
Daewoo,hatch,34,0.8,Petrol,yes,2012,Matiz,front,4799.0
Mercedes-Benz,other,65,1.8,Petrol,yes,2011,E-Class,rear,28500.0
Renault,other,162,2.3,Other,yes,2011,Master ãðóç.,front,11900.0
BMW,sedan,100,2.0,Petrol,yes,2012,520,rear,27500.0
Mitsubishi,crossover,150,3.5,Gas,yes,2008,Outlander XL,full,16500.0
Hyundai,crossover,166,2.0,Petrol,yes,2008,Tucson,full,11300.0
Seat,hatch,167,2.0,Diesel,yes,2008,Altea,front,8500.0
Kia,sedan,1,1.4,Petrol,yes,2015,Rio,front,12000.495
Honda,crossover,1,2.4,Petrol,yes,2016,CR-V,full,27802.50525
Mitsubishi,crossover,78,2.4,Petrol,yes,2012,Outlander XL,full,19400.0
Volkswagen,crossover,132,2.0,Diesel,yes,2011,Amarok,full,28000.0
Kia,vagon,1,1.6,Petrol,yes,2016,Ceed,front,16153.8
Skoda,sedan,1,1.6,Petrol,yes,2015,Octavia A7,front,14356.875
Renault,van,1,1.6,Diesel,yes,2015,Trafic ïàññ.,front,24193.65
Honda,sedan,150,1.8,Petrol,yes,2007,Civic,front,9500.0
Audi,other,182,2.5,Diesel,no,2002,A4,full,5300.0
Kia,sedan,120,2.0,Other,yes,2007,Magentis,front,8500.0
Chevrolet,sedan,117,1.5,Petrol,yes,2006,Aveo,front,5200.0
Audi,crossover,45,2.0,Diesel,yes,2014,Q5,full,39999.0
Jaguar,sedan,56,2.0,Petrol,yes,2013,XF,rear,32000.0
BMW,sedan,260,2.0,Diesel,no,2000,320,rear,2899.0
BMW,sedan,216,2.0,Diesel,yes,2008,320,rear,15500.0
Daewoo,sedan,208,1.6,Petrol,yes,1999,Nubira,front,3150.0
BMW,sedan,276,3.0,Diesel,yes,2004,530,rear,13700.0
BMW,sedan,350,3.0,Diesel,yes,2001,530,rear,9800.0
Volkswagen,sedan,258,1.9,Diesel,yes,2004,Passat B5,front,8200.0
Opel,sedan,125,1.8,Petrol,no,2002,Vectra B,front,2500.0
Nissan,hatch,79,1.6,Gas,yes,2009,TIIDA,front,9800.0
Land Rover,crossover,190,3.6,Diesel,yes,2008,Range Rover,full,27500.0
Land Rover,crossover,130,3.6,Diesel,yes,2010,Range Rover,full,38000.0
Chevrolet,sedan,64,1.8,Petrol,yes,2013,Cruze,front,12500.0
Volkswagen,vagon,239,1.9,Diesel,no,2003,Passat B5,front,2999.0
Skoda,sedan,72,1.8,Petrol,yes,2014,Superb,front,25900.0
Peugeot,hatch,530,1.0,Petrol,yes,2012,107,front,7500.0
Mercedes-Benz,sedan,210,2.2,Diesel,yes,2006,E-Class,rear,15250.0
Volkswagen,hatch,800,2.0,Diesel,yes,2013,Golf VII,front,20500.0
Mercedes-Benz,van,1,2.2,Diesel,yes,2004,Vito ïàññ.,rear,6700.0
Mercedes-Benz,sedan,29,6.0,Petrol,yes,2011,S 600,rear,295000.0
Peugeot,van,162,1.6,Diesel,yes,2008,Partner ãðóç.,front,6900.0
Daewoo,sedan,147,1.3,Gas,yes,2001,Lanos,front,3200.0
Land Rover,crossover,175,4.2,Gas,yes,2007,Range Rover,full,25000.0
Volkswagen,van,180,2.0,Diesel,yes,2012,T5 (Transporter) ãðóç,front,12900.0
Mazda,sedan,130,1.6,Petrol,yes,2007,3,front,9400.0
ZAZ,van,100,1.2,Gas,yes,2004,110557,front,1650.0
Mercedes-Benz,sedan,80,2.3,Petrol,yes,2002,C-Class,rear,9999.0
Skoda,hatch,198,1.6,Gas,yes,2007,Octavia A5,front,9900.0
Chevrolet,hatch,140,1.8,Petrol,yes,2006,Lacetti,front,5700.0
Subaru,crossover,0,2.0,Diesel,yes,2016,Outback,full,44500.0
Mercedes-Benz,van,0,2.6290927510130397,Diesel,yes,2015,Sprinter 316 ïàññ.,rear,33500.0
Chevrolet,sedan,83,1.8,Gas,yes,2011,Cruze,front,10000.0
Hyundai,van,1,2.5,Diesel,yes,2016,H1 ïàññ.,full,53000.0
Mercedes-Benz,sedan,330,5.0,Petrol,yes,2000,S 500,rear,8800.0
BMW,sedan,286,2.8,Petrol,yes,2001,520,rear,7000.0
BMW,other,226,2.5,Petrol,yes,1999,525,rear,7000.0
Volkswagen,sedan,90,3.0,Diesel,yes,2011,Phaeton,full,45000.0
Peugeot,van,95,1.6,Diesel,yes,2012,Partner ãðóç.,front,8450.0
Toyota,crossover,128,4.5,Diesel,yes,2013,Land Cruiser 200,full,64000.0
Skoda,hatch,129,1.4,Petrol,yes,2008,Fabia,front,6650.0
Audi,other,11,1.8,Petrol,yes,2015,A6,front,43000.0
Hyundai,sedan,65,1.6,Petrol,yes,2011,Elantra,front,11500.0
Daewoo,hatch,75,1.5,Petrol,yes,2011,Lanos,front,4650.0
Mercedes-Benz,sedan,460,2.0,Petrol,yes,1991,E-Class,rear,4000.0
Honda,crossover,240,2.0,Petrol,yes,1999,CR-V,full,5500.0
VAZ,vagon,58,1.6,Petrol,yes,2011,2111,front,4999.0
Volkswagen,van,442,2.4,Diesel,yes,1992,T4 (Transporter) ïàññ.,front,5200.0
Honda,sedan,160,2.0,Petrol,yes,2004,Accord,front,8300.0
Volkswagen,van,213,2.0,Diesel,yes,2012,T5 (Transporter) ãðóç,front,12700.0
SsangYong,crossover,110,2.7,Diesel,yes,2008,Rexton II,full,12700.0
Peugeot,vagon,100,1.6,Diesel,yes,2013,308,front,11700.0
Honda,sedan,69,2.4,Petrol,yes,2012,Accord,front,19600.0
Toyota,crossover,260,4.7,Gas,yes,2003,Land Cruiser 100,full,24500.0
Skoda,sedan,72,1.8,Petrol,yes,2013,Superb,front,22800.0
Daewoo,other,9,8.0,Petrol,yes,2008,Matiz,front,4100.0
Mercedes-Benz,crossover,126,5.5,Petrol,yes,2010,GL 500,full,39900.0
Chevrolet,other,1,2.0,Petrol,yes,2016,Camaro,rear,59999.0
Suzuki,hatch,84,1.3,Petrol,yes,2008,Swift,front,7300.0
Honda,sedan,240,2.0,Petrol,yes,2005,Accord,front,8800.0
Volkswagen,hatch,22,1.2,Other,yes,2014,Golf VII,front,21000.0
Opel,vagon,296,2.0,Diesel,no,2001,Astra G,front,1650.0
Chevrolet,sedan,132,2.0,Gas,yes,2007,Epica,front,6999.0
Suzuki,crossover,128,2.0,Petrol,yes,2006,Grand Vitara,full,9200.0
Peugeot,other,130,1.9,Diesel,yes,2006,Partner ïàññ.,front,4150.0
Mitsubishi,crossover,92,2.0,Petrol,yes,2008,Outlander,full,9800.0
Toyota,sedan,69,2.5,Gas,yes,2014,Camry,front,23400.0
Audi,sedan,137,2.6290927510130397,Petrol,yes,2009,A6,front,18500.0
Toyota,crossover,65,4.0,Gas,yes,2010,FJ Cruiser,full,45500.0
Kia,crossover,76,2.2,Diesel,yes,2013,Sorento,full,26900.0
Audi,vagon,206,2.5,Diesel,no,2003,A6,full,4500.0
Peugeot,sedan,90,2.0,Diesel,yes,2013,508,front,17800.0
Chevrolet,sedan,120,1.6,Petrol,yes,2007,Lacetti,front,6300.0
Toyota,sedan,16,2.5,Petrol,yes,2015,Camry,front,28500.0
Volkswagen,vagon,149,1.4,Gas,yes,2013,Passat B7,front,16800.0
Volkswagen,sedan,0,1.6,Diesel,yes,2016,Jetta,front,23999.0
Honda,sedan,73,2.4,Gas,yes,2012,Accord,front,19700.0
BMW,sedan,210,2.0,Other,no,1999,320,rear,2999.0
Mercedes-Benz,crossover,180,3.2,Diesel,yes,2008,GL 320,full,29500.0
Lexus,sedan,82,4.6,Petrol,yes,2008,LS 460,front,19999.0
Kia,sedan,47,2.6290927510130397,Petrol,yes,2013,Rio,front,11500.0
Peugeot,hatch,86,1.4,Petrol,yes,2011,207,front,7300.0
Volkswagen,van,63,2.0,Diesel,yes,2013,Multivan,full,55555.0
Mazda,crossover,66,2.3,Petrol,yes,2007,CX-7,full,10200.0
Volkswagen,van,50,2.0,Diesel,yes,2013,Multivan,full,55555.0
Volkswagen,van,53,2.0,Diesel,yes,2013,Multivan,full,55555.0
Audi,other,222,2.6290927510130397,Diesel,yes,2007,Q7,full,27000.0
Mercedes-Benz,sedan,49,4.7,Petrol,yes,2014,S 500,full,115000.0
Ford,van,160,2.2,Diesel,yes,2013,Transit ãðóç.,front,10300.0
Toyota,sedan,35,2.2,Gas,yes,1999,Camry,front,4350.0
Skoda,other,121,1.6,Petrol,yes,2011,Octavia A5,front,11900.0
Toyota,sedan,17,2.5,Petrol,yes,2015,Camry,front,26250.0
Honda,sedan,14,1.8,Petrol,yes,2012,Civic,front,13700.0
Opel,vagon,138,2.0,Diesel,yes,2010,Insignia,front,13500.0
Lexus,crossover,82,3.5,Petrol,yes,2010,RX 350,full,33700.0
SsangYong,crossover,43,2.0,Diesel,yes,2012,Kyron,full,13000.0
BMW,sedan,280,2.0,Gas,yes,2000,320,rear,6900.0
Toyota,sedan,51,2.5,Gas,yes,2014,Camry,front,24000.0
Citroen,van,222,1.4,Gas,yes,2007,Berlingo ïàññ.,front,5600.0
Lexus,crossover,25,3.5,Petrol,yes,2013,RX 350,full,45555.0
Lexus,crossover,190,3.0,Gas,yes,2001,RX 300,full,8900.0
Audi,crossover,112,4.2,Diesel,yes,2008,Q7,full,52999.0
Land Rover,crossover,87,5.0,Petrol,yes,2011,Range Rover,full,49000.0
Volkswagen,vagon,196,2.0,Diesel,yes,2011,Passat B7,front,18700.0
Skoda,sedan,140,1.8,Petrol,yes,2008,Superb,front,9600.0
Hyundai,other,74,2.0,Petrol,yes,2008,Coupe,front,9950.0
Toyota,sedan,135,2.4,Petrol,yes,2006,Camry,front,12300.0
Skoda,sedan,127,1.8,Petrol,yes,2009,Superb,front,12500.0
Mercedes-Benz,van,350,2.2,Diesel,yes,2000,Vito ãðóç.,front,3799.0
Toyota,sedan,156,2.6290927510130397,Gas,yes,2005,Camry,front,10900.0
Toyota,crossover,52,3.5,Gas,yes,2012,Venza,full,27400.0
BMW,sedan,241,2.0,Petrol,yes,1998,320,rear,8200.0
Toyota,sedan,58,2.5,Petrol,yes,2015,Camry,front,25500.0
Chevrolet,sedan,40,1.8,Petrol,yes,2011,Cruze,front,11900.0
Nissan,hatch,140,1.6,Petrol,yes,2007,TIIDA,front,6900.0
Volkswagen,van,1,5.0,Diesel,yes,2015,Multivan,full,69990.0
Volkswagen,van,1,2.0,Diesel,yes,2015,Multivan,full,69990.0
Mazda,hatch,245,2.6290927510130397,Petrol,yes,1996,323,front,2900.0
Chevrolet,sedan,38,1.8,Petrol,yes,2010,Cruze,front,10000.0
Audi,crossover,75,3.0,Diesel,yes,2013,Q7,full,48000.0
Volkswagen,sedan,130,1.6,Petrol,yes,2012,Polo,front,9000.0
Volkswagen,hatch,118,1.2,Diesel,yes,2011,Polo,front,9999.0
Mitsubishi,sedan,155,1.6,Gas,yes,2007,Lancer,front,6700.0
Hyundai,sedan,63,1.4,Petrol,yes,2013,Accent,front,11100.0
BMW,vagon,65,2.0,Petrol,yes,2014,328,rear,32500.0
Toyota,sedan,250,2.4,Petrol,yes,2003,Camry,front,9999.0
Mazda,sedan,130,1.6,Petrol,yes,2007,3,front,7750.0
Mitsubishi,sedan,118,1.6,Petrol,yes,2007,Lancer,front,6900.0
Mazda,crossover,135,2.3,Petrol,yes,2007,CX-7,full,10500.0
Toyota,sedan,165,3.5,Gas,yes,2008,Camry,front,15600.0
Skoda,sedan,80,2.0,Diesel,yes,2014,Octavia A7,front,22222.0
Honda,crossover,78,2.0,Gas,yes,2012,CR-V,full,20500.0
Ford,crossover,95,1.6,Petrol,yes,2013,Kuga,full,22000.0
Mazda,other,105,2.3,Petrol,yes,2008,CX-7,full,11900.0
Hyundai,sedan,107,1.4,Gas,yes,2007,Accent,front,6800.0
Toyota,sedan,77,2.5,Gas,yes,2012,Camry,front,20999.0
Kia,crossover,70,2.2,Diesel,yes,2013,Sorento,full,23000.0
Toyota,other,55,2.5,Petrol,yes,2013,Camry,full,22800.0
Toyota,sedan,149,3.5,Gas,yes,2008,Camry,front,14900.0
Kia,crossover,130,2.5,Diesel,yes,2008,Sorento,full,11900.0
Audi,crossover,126,3.0,Diesel,yes,2013,Q7,full,48000.0
Mercedes-Benz,crossover,0,5.5,Petrol,yes,2016,GLS 63,full,199999.0
Volkswagen,sedan,100,1.8,Petrol,yes,2008,Passat B6,front,10500.0
Lexus,crossover,0,4.5,Diesel,yes,2016,LX 450,full,134999.0
Seat,hatch,55,1.6,Petrol,yes,2010,Ibiza,front,11500.0
Volkswagen,sedan,210,1.8,Petrol,no,1998,Passat B4,front,1650.0
Geely,sedan,37,1.5,Petrol,yes,2014,Emgrand 7 (EC7),front,7350.0
Toyota,crossover,69,2.7,Petrol,yes,2008,Land Cruiser Prado,full,20900.0
Mercedes-Benz,van,255,2.2,Diesel,yes,2004,Vito ïàññ.,front,7999.0
Honda,crossover,113,2.4,Petrol,yes,2008,CR-V,full,16500.0
Lexus,crossover,172,3.5,Petrol,yes,2007,RX 350,full,17400.0
Hyundai,crossover,89,2.2,Diesel,yes,2012,Santa FE,full,22600.0
Volkswagen,van,317,1.9,Diesel,yes,2008,T5 (Transporter) ãðóç,front,7500.0
Toyota,crossover,70,2.7,Petrol,yes,2008,Land Cruiser Prado,full,20800.0
Volkswagen,crossover,78,2.0,Diesel,yes,2012,Tiguan,full,25200.0
Honda,sedan,78,2.0,Petrol,yes,2010,Accord,front,14500.0
Ford,sedan,195,1.6,Petrol,yes,2011,Mondeo,full,14500.0
Mercedes-Benz,vagon,220,1.7,Other,no,2001,A 170,front,3150.0
Kia,hatch,120,1.4,Gas,yes,2009,Ceed,front,7700.0
Renault,van,208,1.5,Diesel,yes,2008,Kangoo ïàññ.,front,7100.0
Honda,sedan,220,2.0,Petrol,yes,1990,Accord,front,2600.0
Honda,sedan,130,2.0,Petrol,yes,2008,Accord,front,12500.0
Toyota,crossover,82,2.7,Petrol,yes,2013,Venza,full,32900.0
Audi,vagon,40,3.0,Diesel,yes,2010,Q7,full,36000.0
Mercedes-Benz,van,170,2.2,Diesel,yes,2011,Vito ïàññ.,rear,23500.0
Ford,crossover,87,2.5,Petrol,yes,2010,Kuga,full,16400.0
Renault,van,164,1.4,Petrol,yes,1999,Kangoo ïàññ.,front,3100.0
Toyota,crossover,115,5.7,Petrol,yes,2007,Tundra,full,25000.0
Seat,sedan,335,1.8,Petrol,yes,1993,Cordoba,front,3000.0
VAZ,other,60,1.6,Other,yes,1983,2121,full,1700.0
Renault,vagon,242,1.5,Diesel,yes,2007,Megane,front,7400.0
